date,channel_grouping,spend,revenue,spend_share_of_total,day_of_week,is_weekend,spend_lag_1,spend_lag_7,spend_lag_14,spend_rolling_mean_7d,revenue_rolling_mean_7d,spend_rolling_mean_14d,revenue_rolling_mean_14d,spend_rolling_mean_30d,revenue_rolling_mean_30d
2024-01-01,Demand Gen,0.0,0.0,0.0,Monday,False,,,,,,,,,
2024-01-02,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,,,,,,,,
2024-01-03,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,,,,,,,,
2024-01-04,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,,,0.0,0.0,,,,
2024-01-05,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,,,0.0,0.0,,,,
2024-01-06,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,,,0.0,0.0,,,,
2024-01-07,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,,,0.0,0.0,,,,
2024-01-08,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-09,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-10,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-11,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-12,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-13,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-14,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-15,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-16,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-18,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-20,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-22,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-23,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-24,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-25,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-26,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-27,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-28,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-29,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-30,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-02,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-08,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,Demand Gen,0.0,0.0,0.0,Friday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-10,Demand Gen,0.0,0.0,0.0,Saturday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,Demand Gen,0.0,0.0,0.0,Sunday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,Demand Gen,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,Demand Gen,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,Demand Gen,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-15,Demand Gen,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
