date,platform,spend,revenue,spend_share_of_total,day_of_week,is_weekend,spend_lag_1,spend_lag_7,spend_lag_14,spend_rolling_mean_7d,revenue_rolling_mean_7d,spend_rolling_mean_14d,revenue_rolling_mean_14d,spend_rolling_mean_30d,revenue_rolling_mean_30d
2024-01-01,Bing Ads,0.0,0.0,0.0,Monday,False,,,,,,,,,
2024-01-02,Bing Ads,0.0,0.0,0.0,Tuesday,False,0.0,,,,,,,,
2024-01-03,Bing Ads,0.0,0.0,0.0,Wednesday,False,0.0,,,,,,,,
2024-01-04,Bing Ads,0.0,0.0,0.0,Thursday,False,0.0,,,0.0,0.0,,,,
2024-01-05,Bing Ads,0.0,0.0,0.0,Friday,False,0.0,,,0.0,0.0,,,,
2024-01-06,Bing Ads,0.0,0.0,0.0,Saturday,True,0.0,,,0.0,0.0,,,,
2024-01-07,Bing Ads,0.0,0.0,0.0,Sunday,True,0.0,,,0.0,0.0,,,,
2024-01-08,Bing Ads,0.0,0.0,0.0,Monday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-09,Bing Ads,0.0,0.0,0.0,Tuesday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-10,Bing Ads,0.0,0.0,0.0,Wednesday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-11,Bing Ads,0.0,0.0,0.0,Thursday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-12,Bing Ads,0.0,0.0,0.0,Friday,False,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-13,Bing Ads,0.0,0.0,0.0,Saturday,True,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-14,Bing Ads,0.0,0.0,0.0,Sunday,True,0.0,0.0,,0.0,0.0,0.0,0.0,,
2024-01-15,Bing Ads,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-01-16,Bing Ads,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,Bing Ads,0.0,0.0,0.0,Wednesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-18,Bing Ads,0.0,0.0,0.0,Thursday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,Bing Ads,0.0,0.0,0.0,Friday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-20,Bing Ads,0.0,0.0,0.0,Saturday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,Bing Ads,0.0,0.0,0.0,Sunday,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-22,Bing Ads,0.0,0.0,0.0,Monday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-23,Bing Ads,0.0,0.0,0.0,Tuesday,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
