grain,level,horizon_days,quantile,feature,importance
Search,campaign_type,30,0.1,spend,4845.558
Search,campaign_type,30,0.1,spend_lag_1,-241.9933
Search,campaign_type,30,0.1,spend_lag_7,-42.346
Search,campaign_type,30,0.1,spend_lag_14,-121.5558
Search,campaign_type,30,0.1,spend_rolling_mean_7d,32.6088
Search,campaign_type,30,0.1,spend_rolling_mean_14d,31.9531
Search,campaign_type,30,0.1,spend_rolling_mean_30d,287.9317
Search,campaign_type,30,0.1,revenue_rolling_mean_7d,-116.9118
Search,campaign_type,30,0.1,revenue_rolling_mean_14d,92.4808
Search,campaign_type,30,0.1,revenue_rolling_mean_30d,-135.6023
Search,campaign_type,30,0.1,spend_share_of_total,7.8173
Search,campaign_type,30,0.1,days_since_start,0.0
Search,campaign_type,30,0.1,month_sin,0.0
Search,campaign_type,30,0.1,month_cos,0.0
Search,campaign_type,30,0.1,dayofmonth_sin,-1.0835
Search,campaign_type,30,0.1,dayofmonth_cos,74.7072
Search,campaign_type,30,0.1,is_weekend,0.3825
Search,campaign_type,30,0.1,target_spend_30d,23571.2522
Search,campaign_type,30,0.1,dow_Monday,-0.9404
Search,campaign_type,30,0.1,dow_Saturday,0.769
Search,campaign_type,30,0.1,dow_Sunday,0.0
Search,campaign_type,30,0.1,dow_Thursday,3.9966
Search,campaign_type,30,0.1,dow_Tuesday,0.4317
Search,campaign_type,30,0.1,dow_Wednesday,1.7921
Search,campaign_type,30,0.5,spend,515.1402
Search,campaign_type,30,0.5,spend_lag_1,588.3677
Search,campaign_type,30,0.5,spend_lag_7,-346.8533
Search,campaign_type,30,0.5,spend_lag_14,173.2094
Search,campaign_type,30,0.5,spend_rolling_mean_7d,-207.7992
Search,campaign_type,30,0.5,spend_rolling_mean_14d,-88.0447
Search,campaign_type,30,0.5,spend_rolling_mean_30d,31.4709
Search,campaign_type,30,0.5,revenue_rolling_mean_7d,131.5563
Search,campaign_type,30,0.5,revenue_rolling_mean_14d,-200.4324
Search,campaign_type,30,0.5,revenue_rolling_mean_30d,-21.7049
Search,campaign_type,30,0.5,spend_share_of_total,-114.7145
Search,campaign_type,30,0.5,days_since_start,0.0
Search,campaign_type,30,0.5,month_sin,0.0
Search,campaign_type,30,0.5,month_cos,0.0
Search,campaign_type,30,0.5,dayofmonth_sin,90.1373
Search,campaign_type,30,0.5,dayofmonth_cos,2.2635
Search,campaign_type,30,0.5,is_weekend,1.429
Search,campaign_type,30,0.5,target_spend_30d,12398.9275
Search,campaign_type,30,0.5,dow_Monday,0.3038
Search,campaign_type,30,0.5,dow_Saturday,0.8083
Search,campaign_type,30,0.5,dow_Sunday,2.1784
Search,campaign_type,30,0.5,dow_Thursday,1.7664
Search,campaign_type,30,0.5,dow_Tuesday,-2.3647
Search,campaign_type,30,0.5,dow_Wednesday,4.505
Search,campaign_type,30,0.9,spend,-173.3974
Search,campaign_type,30,0.9,spend_lag_1,-2.8867
Search,campaign_type,30,0.9,spend_lag_7,84.7342
Search,campaign_type,30,0.9,spend_lag_14,46.9701
Search,campaign_type,30,0.9,spend_rolling_mean_7d,27.514
Search,campaign_type,30,0.9,spend_rolling_mean_14d,20.2436
Search,campaign_type,30,0.9,spend_rolling_mean_30d,-3.45
Search,campaign_type,30,0.9,revenue_rolling_mean_7d,59.2252
Search,campaign_type,30,0.9,revenue_rolling_mean_14d,90.2753
Search,campaign_type,30,0.9,revenue_rolling_mean_30d,-29.755
Search,campaign_type,30,0.9,spend_share_of_total,10.6636
Search,campaign_type,30,0.9,days_since_start,0.0
Search,campaign_type,30,0.9,month_sin,0.0
Search,campaign_type,30,0.9,month_cos,0.0
Search,campaign_type,30,0.9,dayofmonth_sin,6.6755
Search,campaign_type,30,0.9,dayofmonth_cos,-90.3273
Search,campaign_type,30,0.9,is_weekend,-8.7686
Search,campaign_type,30,0.9,target_spend_30d,209.8191
Search,campaign_type,30,0.9,dow_Monday,-1.3959
Search,campaign_type,30,0.9,dow_Saturday,0.0
Search,campaign_type,30,0.9,dow_Sunday,-5.4209
Search,campaign_type,30,0.9,dow_Thursday,-0.2829
Search,campaign_type,30,0.9,dow_Tuesday,0.0
Search,campaign_type,30,0.9,dow_Wednesday,0.1177
Search,campaign_type,60,0.1,spend,-77.9756
Search,campaign_type,60,0.1,spend_lag_1,361.5585
Search,campaign_type,60,0.1,spend_lag_7,-15.629
Search,campaign_type,60,0.1,spend_lag_14,-174.2568
Search,campaign_type,60,0.1,spend_rolling_mean_7d,-18.314
Search,campaign_type,60,0.1,spend_rolling_mean_14d,313.9771
Search,campaign_type,60,0.1,spend_rolling_mean_30d,-38.1612
Search,campaign_type,60,0.1,revenue_rolling_mean_7d,4.0864
Search,campaign_type,60,0.1,revenue_rolling_mean_14d,40.0459
Search,campaign_type,60,0.1,revenue_rolling_mean_30d,-66.8718
Search,campaign_type,60,0.1,spend_share_of_total,-382.6878
Search,campaign_type,60,0.1,days_since_start,0.0
Search,campaign_type,60,0.1,month_sin,0.0
Search,campaign_type,60,0.1,month_cos,0.0
Search,campaign_type,60,0.1,dayofmonth_sin,-206.5044
Search,campaign_type,60,0.1,dayofmonth_cos,31.7415
Search,campaign_type,60,0.1,is_weekend,-1.2066
Search,campaign_type,60,0.1,target_spend_60d,50.9841
Search,campaign_type,60,0.1,dow_Monday,-42.2379
Search,campaign_type,60,0.1,dow_Saturday,-6.0631
Search,campaign_type,60,0.1,dow_Sunday,21.8394
Search,campaign_type,60,0.1,dow_Thursday,-10.5124
Search,campaign_type,60,0.1,dow_Tuesday,2.0795
