grain,level,forecast_origin_date,horizon_days,actual_revenue,p10_revenue,p50_revenue,p90_revenue,actual_spend,actual_roas,p10_roas,p50_roas,p90_roas
Bing Ads,platform,2026-02-01,30,7785.47,0.0,8224.27,7163.96,926.87,8.4,0.0,8.87,7.73
Bing Ads,platform,2026-02-02,30,7586.69,0.0,8346.07,7054.44,906.14,8.37,0.0,9.21,7.79
Bing Ads,platform,2026-02-03,30,7624.11,0.0,8403.53,7223.31,891.01,8.56,0.0,9.43,8.11
Bing Ads,platform,2026-02-04,30,7250.8,0.0,8501.55,7320.51,853.26,8.5,0.0,9.96,8.58
Bing Ads,platform,2026-02-05,30,6560.36,0.0,8511.87,7426.5,810.39,8.1,0.0,10.5,9.16
Bing Ads,platform,2026-02-06,30,6497.26,0.0,8550.26,7465.62,771.58,8.42,0.0,11.08,9.68
Bing Ads,platform,2026-02-07,30,6109.0,0.0,8471.28,7339.97,750.12,8.14,0.0,11.29,9.79
Bing Ads,platform,2026-02-08,30,5713.59,0.0,8452.65,7360.09,710.2,8.05,0.0,11.9,10.36
Bing Ads,platform,2026-02-09,30,5245.32,0.0,8535.2,7468.26,695.4,7.54,0.0,12.27,10.74
Bing Ads,platform,2026-02-10,30,4932.91,0.0,8274.11,7832.54,662.6,7.44,0.0,12.49,11.82
Bing Ads,platform,2026-02-11,30,4587.38,0.0,8159.09,7817.69,644.25,7.12,0.0,12.66,12.13
Bing Ads,platform,2026-02-12,30,4070.59,0.0,8183.95,7810.6,614.59,6.62,0.0,13.32,12.71
Bing Ads,platform,2026-02-13,30,4172.81,0.0,8171.14,7700.29,720.83,5.79,0.0,11.34,10.68
Bing Ads,platform,2026-02-14,30,4978.6,0.0,8238.11,7543.87,856.54,5.81,0.0,9.62,8.81
Bing Ads,platform,2026-02-15,30,5627.68,0.0,8332.91,7762.18,977.19,5.76,0.0,8.53,7.94
Bing Ads,platform,2026-02-16,30,5577.77,0.0,8305.44,7923.92,1158.21,4.82,0.0,7.17,6.84
Bing Ads,platform,2026-02-17,30,5359.23,0.0,9203.43,7953.9,1297.78,4.13,0.0,7.09,6.13
Bing Ads,platform,2026-02-18,30,5048.02,0.0,8905.33,7936.71,1288.35,3.92,0.0,6.91,6.16
Bing Ads,platform,2026-02-19,30,4849.26,0.0,8492.17,8012.07,1281.68,3.78,0.0,6.63,6.25
Bing Ads,platform,2026-02-20,30,4788.66,0.0,8428.49,7780.96,1279.58,3.74,0.0,6.59,6.08
Bing Ads,platform,2026-02-21,30,4482.94,0.0,7948.1,7394.64,1272.49,3.52,0.0,6.25,5.81
Bing Ads,platform,2026-02-22,30,4440.26,0.0,7962.43,7535.33,1270.02,3.5,0.0,6.27,5.93
Bing Ads,platform,2026-02-23,30,4581.94,0.0,8530.09,7550.45,1267.94,3.61,0.0,6.73,5.95
Bing Ads,platform,2026-02-24,30,4570.93,0.0,8577.83,7537.79,1268.37,3.6,0.0,6.76,5.94
Bing Ads,platform,2026-02-25,30,4543.81,0.0,8520.73,7598.28,1261.52,3.6,0.0,6.75,6.02
Bing Ads,platform,2026-02-26,30,4583.34,0.0,8569.86,7304.9,1257.63,3.64,0.0,6.81,5.81
Bing Ads,platform,2026-02-27,30,4499.26,0.0,8574.96,7438.3,1253.26,3.59,0.0,6.84,5.94
Bing Ads,platform,2026-02-28,30,4449.97,0.0,8590.98,7426.12,1255.48,3.54,0.0,6.84,5.91
Bing Ads,platform,2026-02-01,60,9016.95,4960.74,6944.81,9765.67,1740.09,5.18,2.85,3.99,5.61
Bing Ads,platform,2026-02-02,60,9000.49,4702.55,6857.74,9359.59,1734.52,5.19,2.71,3.95,5.4
Bing Ads,platform,2026-02-03,60,8973.55,4956.77,6428.03,8768.54,1731.23,5.18,2.86,3.71,5.06
Bing Ads,platform,2026-02-04,60,9427.36,5135.94,6557.79,8446.57,1737.49,5.43,2.96,3.77,4.86
Bing Ads,platform,2026-02-05,60,10031.83,5104.69,6395.57,8398.15,1744.15,5.75,2.93,3.67,4.82
Bing Ads,platform,2026-02-06,60,10078.33,5085.47,6580.42,8458.21,1762.96,5.72,2.88,3.73,4.8
Bing Ads,platform,2026-02-07,60,10437.59,5293.67,6463.41,8353.75,1769.8,5.9,2.99,3.65,4.72
Bing Ads,platform,2026-02-08,60,10677.06,5232.65,6442.27,8457.06,1785.7,5.98,2.93,3.61,4.74
Bing Ads,platform,2026-02-09,60,10988.12,4280.88,6564.96,7767.88,1780.81,6.17,2.4,3.69,4.36
Bing Ads,platform,2026-02-10,60,11244.28,4380.58,6540.94,7384.92,1790.66,6.28,2.45,3.65,4.12
Bing Ads,platform,2026-02-11,60,11657.31,4410.35,6762.3,7849.12,1754.13,6.65,2.51,3.86,4.47
Bing Ads,platform,2026-02-12,60,12209.1,4410.82,6886.21,7701.76,1743.71,7.0,2.53,3.95,4.42
Bing Ads,platform,2026-02-13,60,12525.61,4904.61,6886.68,9586.04,1734.53,7.22,2.83,3.97,5.53
Bing Ads,platform,2026-02-14,60,12558.99,4834.21,6806.72,9577.48,1720.7,7.3,2.81,3.96,5.57
Bing Ads,platform,2026-02-15,60,13013.79,4336.98,7002.62,8304.72,1712.96,7.6,2.53,4.09,4.85
Bing Ads,platform,2026-02-16,60,12900.4,4068.38,7089.38,8592.09,1697.63,7.6,2.4,4.18,5.06
Bing Ads,platform,2026-02-17,60,13377.06,4077.35,7033.96,8573.42,1683.22,7.95,2.42,4.18,5.09
Bing Ads,platform,2026-02-18,60,13688.27,4081.75,7111.31,7975.21,1671.83,8.19,2.44,4.25,4.77
Bing Ads,platform,2026-02-19,60,13911.38,4065.89,7070.04,8329.7,1675.44,8.3,2.43,4.22,4.97
Bing Ads,platform,2026-02-20,60,13925.76,4815.35,6881.41,9591.19,1680.49,8.29,2.87,4.09,5.71
Bing Ads,platform,2026-02-21,60,14284.97,4676.11,7040.75,9494.7,1691.58,8.44,2.76,4.16,5.61
Bing Ads,platform,2026-02-22,60,14302.5,4928.05,6899.72,9653.25,1686.28,8.48,2.92,4.09,5.72
Bing Ads,platform,2026-02-23,60,14374.62,4485.69,6661.37,9952.08,1686.12,8.53,2.66,3.95,5.9
Bing Ads,platform,2026-02-24,60,14235.9,4584.15,6768.48,9816.72,1680.41,8.47,2.73,4.03,5.84
Bing Ads,platform,2026-02-25,60,14280.25,4787.13,6687.29,9988.49,1688.0,8.46,2.84,3.96,5.92
Bing Ads,platform,2026-02-26,60,14180.45,4089.25,6665.96,9333.8,1696.8,8.36,2.41,3.93,5.5
Bing Ads,platform,2026-02-27,60,14237.66,4059.47,6671.92,7920.02,1707.3,8.34,2.38,3.91,4.64
Bing Ads,platform,2026-02-28,60,14181.61,4879.07,6672.71,9842.11,1713.64,8.28,2.85,3.89,5.74
Bing Ads,platform,2026-02-01,90,6667.61,3672.43,6035.15,8246.21,3654.27,1.82,1.0,1.65,2.26
